Distance [m];Packet RSSI [dBm];RSSI [dBm];SNR [dB];Power level [dBm];SF;BW [kHz];Freq [MHz];CR;Lat;Long;Speed [km/h]
100;-117;-105;-10;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-105;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-102;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-108;-10;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-116;-103;-11;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-118;-104;-13;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-117;-103;-8;20;12;62.5;868.1;'4/5';56.450390;9.998610;0.0
100;-116;-103;-9;20;12;62.5;868.1;'4/5';56.450428;9.998572;2.1
100;-118;-103;-13;20;12;62.5;868.1;'4/5';56.450420;9.998583;1.7
100;-117;-103;-10;20;12;62.5;868.1;'4/5';56.450413;9.998590;0.0
100;-116;-104;-10;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-104;-10;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-117;-105;-10;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-102;-10;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-105;-11;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-117;-104;-11;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-106;-11;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-104;-10;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-118;-103;-12;20;12;62.5;868.1;'4/5';56.450412;9.998592;0.0
100;-116;-106;-8;20;12;62.5;868.1;'4/5';56.450423;9.998585;7.4
100;-117;-105;-10;20;12;62.5;868.1;'4/5';56.450363;9.998698;18.5
100;-115;-103;-5;20;12;62.5;868.1;'4/5';56.450117;9.999043;35.6
100;-116;-106;-4;20;12;62.5;868.1;'4/5';56.449950;9.999302;44.8
100;-117;-104;-11;20;12;62.5;868.1;'4/5';56.449545;10.000048;64.1
100;-112;-106;-15;20;12;62.5;868.1;'4/5';56.448970;10.000832;75.2
100;-119;-104;-16;20;12;62.5;868.1;'4/5';56.448307;10.001755;88.5
100;-111;-105;-19;20;12;62.5;868.1;'4/5';56.446748;10.003795;98.7
100;-112;-104;-15;20;12;62.5;868.1;'4/5';56.444397;10.007240;101.1
100;-118;-105;-13;20;12;62.5;868.1;'4/5';56.444032;10.007885;101.1
100;-117;-105;-9;20;12;62.5;868.1;'4/5';56.443682;10.008543;101.3
100;-115;-104;-18;20;12;62.5;868.1;'4/5';56.436210;10.007020;33.2
100;-118;-106;-11;20;12;62.5;868.1;'4/5';56.436327;10.007203;28.0
100;-119;-104;-11;20;12;62.5;868.1;'4/5';56.436410;10.007350;18.2
100;-118;-105;-11;20;12;62.5;868.1;'4/5';56.436477;10.007493;13.9
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.436528;10.007582;12.3
100;-120;-105;-12;20;12;62.5;868.1;'4/5';56.436575;10.007647;9.4
100;-119;-105;-12;20;12;62.5;868.1;'4/5';56.436593;10.007673;0.3
100;-118;-108;-12;20;12;62.5;868.1;'4/5';56.436597;10.007682;0.0
100;-119;-106;-14;20;12;62.5;868.1;'4/5';56.436598;10.007680;0.0
100;-118;-106;-9;20;12;62.5;868.1;'4/5';56.436598;10.007680;0.0
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.436622;10.007708;9.0
100;-119;-106;-18;20;12;62.5;868.1;'4/5';56.436695;10.007657;10.9
100;-119;-103;-15;20;12;62.5;868.1;'4/5';56.436697;10.007587;4.0
100;-117;-105;-11;20;12;62.5;868.1;'4/5';56.436685;10.007580;0.0
100;-117;-105;-6;20;12;62.5;868.1;'4/5';56.436680;10.007582;0.0
100;-118;-105;-13;20;12;62.5;868.1;'4/5';56.436672;10.007615;2.9
100;-118;-103;-13;20;12;62.5;868.1;'4/5';56.436657;10.007637;0.0
100;-119;-104;-16;20;12;62.5;868.1;'4/5';56.436700;10.007575;6.3
100;-118;-106;-13;20;12;62.5;868.1;'4/5';56.436752;10.007512;12.4
100;-118;-103;-14;20;12;62.5;868.1;'4/5';56.436798;10.007457;10.1
100;-118;-104;-14;20;12;62.5;868.1;'4/5';56.436817;10.007427;0.3
100;-119;-106;-16;20;12;62.5;868.1;'4/5';56.436813;10.007423;0.0
100;-119;-108;-7;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-105;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-108;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-105;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-105;-13;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-100;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-104;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-104;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-106;-17;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-113;-104;-18;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-106;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-108;-13;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-121;-107;-13;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-105;-17;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-12;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-106;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-110;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-117;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-104;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-108;-17;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-17;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-121;-106;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-108;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-108;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-104;-13;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-108;-14;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-108;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-116;-106;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-108;-16;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-108;-15;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-122;-104;-12;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-106;-12;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-108;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-118;-105;-10;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-104;-8;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-106;-10;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-119;-107;-9;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-103;-8;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-117;-106;-11;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
100;-120;-105;-9;20;12;62.5;868.1;'4/5';56.436812;10.007420;0.0
